"COMID","drywet_mean","drywet_stdev","FAXVIR_mean","FAXVIR_stdev"
15895754,0.0833333333333333,0.276797607328686,0.137931034482759,0.345423658538061
15895756,0.160714285714286,0.367814962286577,0.131034482758621,0.338021362806257
15895758,0.360119047619048,0.480750642033071,0.272413793103448,0.445971240343967
15895760,0.0982142857142857,0.298048020629695,0.148275862068966,0.355987529091444
15895762,0.0803571428571429,0.272250746708169,0.151724137931034,0.359373435575518
15895764,0.0952380952380952,0.293981322141903,0.141379310344828,0.349014669761695
15895766,0.214285714285714,0.410937873691529,0.255172413793103,0.436711687728077
15895768,0.107142857142857,0.30975607708665,0.193103448275862,0.395415802771581
15895770,0.0833333333333333,0.276797607328686,0.113793103448276,0.318108747189979
15895772,0.166666666666667,0.37323381758231,0.172413793103448,0.378392659354516
15895774,0.0803571428571429,0.272250746708169,0.224137931034483,0.417734185124117
15895776,0.0654761904761905,0.247733148497027,0.144827586206897,0.352535263539885
15895778,0.0744047619047619,0.262819846091661,0.172413793103448,0.378392659354516
15895780,0.101190476190476,0.302030559932115,0.175862068965517,0.381360859917052
15895782,0.0714285714285714,0.257923477519716,0.186206896551724,0.389946441119665
15896332,0.401785714285714,0.490990253030983,0.0655172413793104,0.2478640408504
15896334,0.0863095238095238,0.281239388175385,0.0310344827586207,0.173710669593725
15896336,0.113095238095238,0.31718152885361,0.00689655172413793,0.0829016780491346
15896338,0.101190476190476,0.302030559932115,0.0206896551724138,0.142589279613793
15896340,0.0773809523809524,0.267593449923714,0.0448275862068966,0.207282978429013
15896342,0.211309523809524,0.408846297468624,0.0275862068965517,0.164067147457484
15896344,0.0952380952380952,0.293981322141903,0.0379310344827586,0.191359718697804
15896346,0.107142857142857,0.30975607708665,0.0896551724137931,0.286180947412183
15896348,0.12202380952381,0.327801467990137,0.0448275862068966,0.207282978429013
15896350,0.101190476190476,0.302030559932115,0.113793103448276,0.318108747189979
15896352,0.0982142857142857,0.298048020629695,0.0448275862068966,0.207282978429013
15896354,0.12202380952381,0.327801467990137,0.0758620689655172,0.265234990690071
15896356,0.104166666666667,0.305932226748318,0.0689655172413793,0.253833512551086
15896358,0.133928571428571,0.341083498709164,0.186206896551724,0.389946441119665
15896360,0.113095238095238,0.31718152885361,0.0379310344827586,0.191359718697804
15896362,0.12797619047619,0.334561525517785,0.137931034482759,0.345423658538061
15896364,0.514880952380952,0.500523890428655,0.182758620689655,0.387136560687477
15896366,0.0863095238095238,0.281239388175385,0.158620689655172,0.365953502992476
15896368,0.616071428571429,0.487066192092763,0.16551724137931,0.372289151741592
15896370,0.0714285714285714,0.257923477519716,0.148275862068966,0.355987529091444
15896372,0.101190476190476,0.302030559932115,0.155172413793103,0.362694841464964
15896374,0.104166666666667,0.305932226748318,0.141379310344828,0.349014669761695
15896376,0.110119047619048,0.313504958365394,0.137931034482759,0.345423658538061
15896378,0.136904761904762,0.344259451587182,0.13448275862069,0.341760010162097
15896380,0.333333333333333,0.472107585343959,0.0827586206896552,0.275993287011839
15896382,0.1875,0.390894496587873,0.0931034482758621,0.291079644605457
15898925,0.12797619047619,0.334561525517785,0.0758620689655172,0.265234990690071
15898927,0.130952380952381,0.337851399101604,0.0517241379310345,0.22185236160474
15898929,0.130952380952381,0.337851399101604,0.0482758620689655,0.214719080424608
15898931,0.133928571428571,0.341083498709164,0.0586206896551724,0.235319471250672
15898933,0.0476190476190476,0.213276467189891,0.0482758620689655,0.214719080424608
15898935,0.0773809523809524,0.267593449923714,0.0413793103448276,0.199510198470255
15898937,0.133928571428571,0.341083498709164,0.0482758620689655,0.214719080424608
15898939,0.0386904761904762,0.19314385489874,0.0379310344827586,0.191359718697804
15898941,0.0744047619047619,0.262819846091661,0.0551724137931034,0.228711157795233
15898945,0.12202380952381,0.327801467990137,0.0586206896551724,0.235319471250672
15901463,0.0892857142857143,0.285580992361702,0.096551724137931,0.295856926308593
15901465,0.196428571428571,0.397888885283295,0.096551724137931,0.295856926308593
15901469,0.154761904761905,0.362216975266602,0.0862068965517241,0.281154488349475
15901471,0.175595238095238,0.381042877488504,0.131034482758621,0.338021362806257
15901473,0.148809523809524,0.356431416481902,0.13448275862069,0.341760010162097
15901475,0.0863095238095238,0.281239388175385,0.0896551724137931,0.286180947412183
15901477,0.261904761904762,0.440326815371794,0.144827586206897,0.352535263539885
15901479,0.0952380952380952,0.293981322141903,0.0862068965517241,0.281154488349475
15901485,0.151785714285714,0.359348201698528,0.0862068965517241,0.281154488349475
15901489,0.273809523809524,0.446577444970956,0.0827586206896552,0.275993287011839
15901491,0.282738095238095,0.451001806768665,0.131034482758621,0.338021362806257
15901493,0.148809523809524,0.356431416481902,0.0827586206896552,0.275993287011839
15901495,0.0505952380952381,0.219496581093157,0.0758620689655172,0.265234990690071
15901497,0.056547619047619,0.231320642219198,0.0896551724137931,0.286180947412183
15901499,0.0505952380952381,0.219496581093157,0.0896551724137931,0.286180947412183
15901501,0.0892857142857143,0.285580992361702,0.1,0.300518582928113
15901503,0.214285714285714,0.410937873691529,0.141379310344828,0.349014669761695
15901505,0.154761904761905,0.362216975266602,0.103448275862069,0.305069914978024
15901507,0.154761904761905,0.362216975266602,0.106896551724138,0.309515789360576
15901509,0.151785714285714,0.359348201698528,0.103448275862069,0.305069914978024
15901511,0.181547619047619,0.386046146951894,0.1,0.300518582928113
15901513,0.318452380952381,0.466570834916108,0.124137931034483,0.330308833587413
15901515,0.068452380952381,0.252897213726708,0.0931034482758621,0.291079644605457
15901517,0.154761904761905,0.362216975266602,0.0827586206896552,0.275993287011839
15901519,0.0714285714285714,0.257923477519716,0.0793103448275862,0.270689636172811
15901521,0.354166666666667,0.478973300806603,0.203448275862069,0.403259006142553
15901523,0.0476190476190476,0.213276467189891,0.0896551724137931,0.286180947412183
15901525,0.0654761904761905,0.247733148497027,0.096551724137931,0.295856926308593
15901527,0.154761904761905,0.362216975266602,0.1,0.300518582928113
15901529,0.339285714285714,0.474173054156229,0.141379310344828,0.349014669761695
15901531,0.0535714285714286,0.225505828006326,0.0827586206896552,0.275993287011839
15901533,0.196428571428571,0.397888885283295,0.106896551724138,0.309515789360576
15901535,0.163690476190476,0.370546284133502,0.0896551724137931,0.286180947412183
15901537,0.0803571428571429,0.272250746708169,0.0551724137931034,0.228711157795233
15901539,0.157738095238095,0.365038869132119,0.096551724137931,0.295856926308593
15901541,0.383928571428571,0.487066192092763,0.141379310344828,0.349014669761695
15901543,0.160714285714286,0.367814962286577,0.103448275862069,0.305069914978024
15901545,0.169642857142857,0.375878501896069,0.0862068965517241,0.281154488349475
15901547,0.401785714285714,0.490990253030983,0.0896551724137931,0.286180947412183
15901549,0.125,0.331212156385169,0.0724137931034483,0.259619833488468
15901551,0.0297619047619048,0.170183228319177,0.096551724137931,0.295856926308593
15901553,0.0446428571428571,0.206826462284366,0.0758620689655172,0.265234990690071
15901555,0.142857142857143,0.350448996194741,0.0827586206896552,0.275993287011839
15901559,0.101190476190476,0.302030559932115,0.103448275862069,0.305069914978024
15901561,0.12797619047619,0.334561525517785,0.103448275862069,0.305069914978024
15901563,0.160714285714286,0.367814962286577,0.106896551724138,0.309515789360576
15901565,0.163690476190476,0.370546284133502,0.106896551724138,0.309515789360576
15901567,0.0535714285714286,0.225505828006326,0.0655172413793104,0.2478640408504
15901569,0.404761904761905,0.491577967737892,0.186206896551724,0.389946441119665
15901571,0.407738095238095,0.492146929135856,0.0655172413793104,0.2478640408504
15901573,0.0773809523809524,0.267593449923714,0.0586206896551724,0.235319471250672
15901575,0.178571428571429,0.383564251698769,0.124137931034483,0.330308833587413
15901577,0.0833333333333333,0.276797607328686,0.0896551724137931,0.286180947412183
15901579,0.12797619047619,0.334561525517785,0.0896551724137931,0.286180947412183
15901581,0.133928571428571,0.341083498709164,0.110344827586207,0.313860687569385
15901583,0.610119047619048,0.488450474851211,0.0793103448275862,0.270689636172811
15901585,0.166666666666667,0.37323381758231,0.096551724137931,0.295856926308593
15901587,0.583333333333333,0.493741931101019,0.0275862068965517,0.164067147457484
15901589,0.125,0.331212156385169,0.110344827586207,0.313860687569385
15901591,0.139880952380952,0.347380797715101,0.096551724137931,0.295856926308593
15901593,0.660714285714286,0.474173054156229,0.0724137931034483,0.259619833488468
15901595,0.056547619047619,0.231320642219198,0.0931034482758621,0.291079644605457
15901597,0.0833333333333333,0.276797607328686,0.0827586206896552,0.275993287011839
15901599,0.398809523809524,0.490383717588778,0.144827586206897,0.352535263539885
15901601,0.056547619047619,0.231320642219198,0.0793103448275862,0.270689636172811
15901603,0.0386904761904762,0.19314385489874,0.0793103448275862,0.270689636172811
15901605,0.642857142857143,0.479872051177255,0.0758620689655172,0.265234990690071
15901607,0.19047619047619,0.393262374190314,0.0758620689655172,0.265234990690071
15901609,0.196428571428571,0.397888885283295,0.0724137931034483,0.259619833488468
15901611,0.0446428571428571,0.206826462284366,0.0724137931034483,0.259619833488468
15901613,0.0535714285714286,0.225505828006326,0.0793103448275862,0.270689636172811
15901615,0.663690476190476,0.473150835214575,0.13448275862069,0.341760010162097
15901617,0.193452380952381,0.395593622475853,0.0793103448275862,0.270689636172811
15901619,0.157738095238095,0.365038869132119,0.0793103448275862,0.270689636172811
15901621,0.342261904761905,0.475174377897307,0.0896551724137931,0.286180947412183
15901623,0.145833333333333,0.353465431047045,0.0758620689655172,0.265234990690071
15901625,0.473214285714286,0.50002665174171,0.0551724137931034,0.228711157795233
15901627,0.139880952380952,0.347380797715101,0.0551724137931034,0.228711157795233
15901629,0.68452380952381,0.465398316994448,0.0413793103448276,0.199510198470255
15901631,0.0803571428571429,0.272250746708169,0.0724137931034483,0.259619833488468
15901635,0.130952380952381,0.337851399101604,0.0689655172413793,0.253833512551086
15901637,0.660714285714286,0.474173054156229,0.0689655172413793,0.253833512551086
15901639,0.0744047619047619,0.262819846091661,0.0724137931034483,0.259619833488468
15901641,0.297619047619048,0.457892952484107,0.0551724137931034,0.228711157795233
15901645,0.333333333333333,0.472107585343959,0.0655172413793104,0.2478640408504
15901647,0.276785714285714,0.44807691427783,0.13448275862069,0.341760010162097
15901649,0.49702380952381,0.500736841570541,0.0827586206896552,0.275993287011839
15901651,0.494047619047619,0.500710227630728,0.0827586206896552,0.275993287011839
15901653,0.0386904761904762,0.19314385489874,0.0758620689655172,0.265234990690071
15901655,0.511904761904762,0.500603757722526,0.0655172413793104,0.2478640408504
15901657,0.639880952380952,0.480750642033071,0.0862068965517241,0.281154488349475
15901659,0.148809523809524,0.356431416481902,0.096551724137931,0.295856926308593
15901661,0.116071428571429,0.320788274833712,0.096551724137931,0.295856926308593
15901665,0.0476190476190476,0.213276467189891,0.0689655172413793,0.253833512551086
15901667,0.160714285714286,0.367814962286577,0.096551724137931,0.295856926308593
15901669,0.601190476190476,0.490383717588778,0.0551724137931034,0.228711157795233
